tag	count	franchises
kakania (reverse:1999)	247	reverse:1999
kochou kanae	247	kimetsu no yaiba
mareep	247	pokemon
matsuno ichimatsu	247	osomatsu (series), osomatsu-san, osomatsu-kun
matsuno jyushimatsu	247	osomatsu (series), osomatsu-san, osomatsu-kun
michelle (bang dream!)	247	bang dream!
midnight (boku no hero academia)	247	boku no hero academia
minamoto shizuka	247	doraemon
niijima sae	247	persona, persona 5
roll.exe (mega man)	247	mega man (series), mega man battle network (series)
roserade	247	pokemon, pokemon dppt
shiranui (nakiri ayame)	247	hololive
shizuna rem misurugi	247	eiyuu densetsu, kuro no kiseki (series), kuro no kiseki i
starly	247	pokemon
tenten (naruto)	247	naruto (series), naruto
terrance rainer	247	pokemon
u-47 (azur lane)	247	azur lane
uesugi kenshin (fate)	247	fate/grand order, fate (series)
virgilia (umineko)	247	umineko no naku koro ni
yui tsuruno	247	magia record: mahou shoujo madoka magica gaiden, mahou shoujo madoka magica
zaizen aoi	247	yu-gi-oh!, yu-gi-oh! vrains
ashwatthama (fate)	246	fate/grand order, fate (series)
elizabeth bathory (second ascension) (fate)	246	fate (series), rojiura satsuki: chapter heroine sanctuary
giovanni (pokemon)	246	pokemon
irene (the adjudicatrix and her resolve) (arknights)	246	arknights
kuzuryu fuyuhiko	246	danganronpa (series), danganronpa 2: goodbye despair
miori celesta	246	indie virtual youtuber
okazaki ushio	246	clannad
serafall leviathan	246	high school dxd
bronya zaychik (outstanding attitude)	245	honkai (series), honkai impact 3rd
demi-fiend	245	shin megami tensei, shin megami tensei iii: nocturne
enna alouette (1st costume)	245	nijisanji, nijisanji en
hishi akebono (umamusume)	245	umamusume
jessica (reverse:1999)	245	reverse:1999
miltank	245	pokemon
mitty (made in abyss)	245	made in abyss
ouro kronii (4th costume)	245	hololive, hololive english
pawmi	245	pokemon, pokemon sv
sanhua (wuthering waves)	245	wuthering waves
sceptile	245	pokemon
senju muramasa	245	eromanga sensei
sideroca (light breeze) (arknights)	245	arknights
sonohara anri	245	durarara!!
u-1146	245	hataraku saibou
valkyrie police academy student (blue archive)	245	blue archive
wolf link	245	the legend of zelda, the legend of zelda: twilight princess
yukino (blue archive)	245	blue archive
australian devil (kemono friends)	244	kemono friends
bison (arknights)	244	arknights
elaine (pokemon)	244	pokemon, pokemon lgpe
elis (touhou)	244	touhou, touhou (pc-98)
fighter (dungeon and fighter)	244	dungeon and fighter
fuuma kotarou (fate)	244	fate/grand order, fate (series)
garie tuman	244	senki zesshou symphogear
kirishima romin	244	yu-gi-oh!, yu-gi-oh! sevens
kousaka china	244	gundam, gundam build fighters
lemuen (arknights)	244	arknights
lucia: crimson abyss (pgr)	244	punishing: gray raven
machina x flayon	244	holostars, holostars english
sonia strumm (mega man)	244	mega man (series), mega man star force (series)
spirit blossom ahri	244	league of legends
springfield (stirring mermaid) (girls' frontline)	244	girls' frontline
tanemura koyori	244	watashi ni tenshi ga maiorita!
yuuhi riri	244	nijisanji
zero (code geass)	244	code geass
darth vader	243	star wars
fuiba fuyu	243	gochuumon wa usagi desu ka?
jean kirstein	243	shingeki no kyojin
mega lopunny	243	pokemon
mika (genshin impact)	243	genshin impact
mint blancmanche	243	galaxy angel
phoebe (pokemon)	243	pokemon, pokemon rse
shirogane noel (dirndl)	243	hololive
svd (girls' frontline)	243	girls' frontline
takenouchi sora	243	digimon, digimon adventure
venus paques (umamusume)	243	umamusume
winged lion (dungeon meshi)	243	dungeon meshi
wishiwashi (solo)	243	pokemon, pokemon sm
yotsuya miko	243	mieruko-chan
asseylum vers allusia	242	aldnoah.zero
diavolo	242	jojo no kimyou na bouken, vento aureo
eiden (nu carnival)	242	nu carnival
folinic (arknights)	242	arknights
growlithe	242	pokemon
hiryuu kai ni (kancolle)	242	kantai collection
hoshimachi suisei (maid)	242	hololive
iori utahime	242	jujutsu kaisen
jean (gunnhildr's legacy) (genshin impact)	242	genshin impact
katsushika hokusai (traveling outfit) (fate)	242	fate/grand order, fate (series)
knight (dungeon and fighter)	242	dungeon and fighter
kokonoe (blazblue)	242	blazblue
mori yuki	242	uchuu senkan yamato, uchuu senkan yamato 2199
moroboshi ataru	242	urusei yatsura
nanami (pgr)	242	punishing: gray raven
oomiya shinobu	242	kin-iro mosaic
rapunzel (disney)	242	tangled
sakura ayane	242	
serina (christmas) (blue archive)	242	blue archive
shikinami kai ni (kancolle)	242	kantai collection
tamura manami	242	ore no imouto ga konna ni kawaii wake ga nai
tanigaki genjirou	242	golden kamuy
they (kiman)	242	among us, original
ursula charistes	242	little witch academia
yomiko readman	242	read or die
aardwolf (kemono friends)	241	kemono friends
chiya (urara meirochou)	241	urara meirochou
coconut (nekopara)	241	nekopara
commandant (pgr)	241	punishing: gray raven
common bottlenose dolphin (kemono friends)	241	kemono friends
cure macaron	241	precure, kirakira precure a la mode
elfuda (elf-san wa yaserarenai.)	241	elf-san wa yaserarenai.
euryale (third ascension) (fate)	241	fate/grand order, fate (series)
jewelry bonney	241	one piece
medea (lily) (fate)	241	fate (series), fate/grand order
priscilla the crossbreed	241	dark souls (series), dark souls i
satsuki rin	241	touhou
saya (blue archive)	241	blue archive
shinguji korekiyo	241	danganronpa (series), danganronpa v3: killing harmony
shirakami fubuki (hololive summer 2019)	241	hololive
star platinum	241	jojo no kimyou na bouken, stardust crusaders
takayama maria	241	boku wa tomodachi ga sukunai
tsurumaru kuninaga	241	touken ranbu
usada pekora (prisoner)	241	hololive
uzumaki himawari	241	naruto (series), boruto: naruto next generations
wally (pokemon)	241	pokemon, pokemon oras
zarya (overwatch)	241	overwatch, overwatch 1
alolan raichu	240	pokemon, pokemon sm
cure lovely	240	happinesscharge precure!, precure
delutaya	240	indie virtual youtuber
elysium (arknights)	240	arknights
heroine (dq4)	240	dragon quest, dragon quest iv
hk416 (starry cocoon) (girls' frontline)	240	girls' frontline
honolulu (summer accident?!) (azur lane)	240	azur lane
katsura kotonoha	240	school days
kohibari kurumi	240	tenshi souzou re-boot!
kuroshio kai ni (kancolle)	240	kantai collection
lily (ender lilies)	240	ender lilies quietus of the knights
marui hitoha	240	mitsudomoe (manga)
megumi (girls und panzer)	240	girls und panzer
melona (queen's blade)	240	queen's blade
misono karin	240	magia record: mahou shoujo madoka magica gaiden, mahou shoujo madoka magica
momiji (blue archive)	240	blue archive
peacock (skullgirls)	240	skullgirls
pela (honkai: star rail)	240	honkai: star rail, honkai (series)
sasaki kanna (kaedeko)	240	gaki kyonyuu
tail (honkai: star rail)	240	honkai: star rail, honkai (series)
teemo	240	league of legends
yuuno scrya	240	lyrical nanoha, mahou shoujo lyrical nanoha
zapstring (wuthering waves)	240	wuthering waves
brid (nikke)	239	goddess of victory: nikke
crona (soul eater)	239	soul eater
elysia (peachy spring) (honkai impact)	239	honkai (series), honkai impact 3rd
fukuda noriko	239	idolmaster, idolmaster million live!
itoshiki nozomu	239	sayonara zetsubou sensei
kid (chrono cross)	239	chrono cross
kira tsubasa	239	love live!, love live! school idol project
kusanagi kyou	239	the king of fighters
maruzensky (blasting off summer night) (umamusume)	239	umamusume
nikaidou (dorohedoro)	239	dorohedoro
reinhardt (overwatch)	239	overwatch, overwatch 1
reuniclus	239	pokemon
sharpedo	239	pokemon
shinomiya karen	239	idolmaster, idolmaster million live!
shiratsuyu (swimsuit) (kancolle)	239	kantai collection
shizuka rin (1st costume)	239	nijisanji
shizuki hitomi	239	mahou shoujo madoka magica, mahou shoujo madoka magica (anime)
tailred	239	ore twintail ni narimasu
zhuge kongming (honkai impact)	239	honkai (series), honkai impact 3rd
akigumo kai ni (kancolle)	238	kantai collection
amagi kai (kancolle)	238	kantai collection
arcee	238	transformers
artemis (sailor moon)	238	bishoujo senshi sailor moon
asumi sena	238	vspo!, cattleya regina games
curly brace	238	doukutsu monogatari
elu (nijisanji)	238	nijisanji
ethel (xenoblade)	238	xenoblade chronicles (series), xenoblade chronicles 3
flora (fire emblem)	238	fire emblem, fire emblem fates
juvia lockser	238	fairy tail
kaga nazuna	238	vspo!, lupinus virtual games
kamiki mirai	238	gundam, gundam build fighters, gundam build fighters try
laegjarn (fire emblem)	238	fire emblem, fire emblem heroes
lakshmibai (fate)	238	fate/grand order, fate (series)
loona (helluva boss)	238	helluva boss
nora valkyrie	238	rwby
orihara izaya	238	durarara!!
power girl (1976 costume)	238	dc comics, superman (series)
saiga-12 (girls' frontline)	238	girls' frontline
samejima mamimi	238	flcl
scott pilgrim	238	scott pilgrim (series), scott pilgrim takes off
tatsugiri	238	pokemon
tenma maemi	238	phase connect
toph bei fong	238	avatar legends, avatar: the last airbender
vivi (ac8231)	238	original
zas m21 (girls' frontline)	238	girls' frontline
akazutsumi momoko	237	powerpuff girls z
anastella (zenless zone zero)	237	zenless zone zero
apollo justice	237	ace attorney, apollo justice: ace attorney
cure magical	237	mahou girls precure!, precure
cure moonlight	237	heartcatch precure!, precure
finana ryugu (1st costume)	237	nijisanji, nijisanji en
fnc (girls' frontline)	237	girls' frontline
goredolf musik	237	fate (series), fate/grand order
grim reaper	237	
hitoyo (baffu)	237	original
jinshi (kusuriya no hitorigoto)	237	kusuriya no hitorigoto
kana (fire emblem)	237	fire emblem, fire emblem fates
kimeemaru	237	touhou
kurumi (kantoku)	237	original
matsuno karamatsu	237	osomatsu (series), osomatsu-san, osomatsu-kun
maylene (pokemon)	237	pokemon, pokemon dppt
natu	237	pokemon
nishimiya shouko	237	koe no katachi
pidgeot	237	pokemon
plymouth (azur lane)	237	azur lane
pola (seaside coincidence) (azur lane)	237	azur lane
saria (the law) (arknights)	237	arknights
serina (nurse) (blue archive)	237	blue archive
setsuna f. seiei	237	gundam, gundam 00
steve (minecraft)	237	minecraft
takamine takane	237	haite kudasai takamine-san
washington (azur lane)	237	azur lane
yagi toshinori	237	boku no hero academia
yato (arknights)	237	arknights, monster hunter (series)
yuki miku (2017)	237	vocaloid
bamboo memory (umamusume)	236	umamusume
chuck (psg)	236	panty & stocking with garterbelt
crown (nikke)	236	goddess of victory: nikke
cure wing	236	hirogaru sky! precure, precure
giuseppe garibaldi (kancolle)	236	kantai collection
heywood l. edwards (kancolle)	236	kantai collection
hikigaya komachi	236	yahari ore no seishun lovecome wa machigatteiru.
iwasawa masami	236	angel beats!
jururu	236	waktaverse
kisaragi ren (vtuber)	236	vspo!, iris black games
kohaku (yua)	236	original
kurosaki mea	236	to love-ru, to love-ru darkness
magik (x-men)	236	marvel, x-men, marvel rivals
marle (chrono trigger)	236	chrono trigger
mimino kurumi	236	precure, yes! precure 5, yes! precure 5 gogo!
naoe riki	236	little busters!
papika (flip flappers)	236	flip flappers
sakura miko (work)	236	hololive
shinazugawa sanemi	236	kimetsu no yaiba
swire the elegant wit (arknights)	236	arknights
u-1196	236	hataraku saibou, hataraku saibou black
urakaze (yukata mode) (kancolle)	236	kantai collection
vileplume	236	pokemon
ahiru (princess tutu)	235	princess tutu
arsene lupin iii	235	lupin iii
boryeon (last origin)	235	last origin
crono (chrono trigger)	235	chrono trigger
cure yell	235	precure, hugtto! precure
daki (kimetsu no yaiba)	235	kimetsu no yaiba
eiko carol	235	final fantasy, final fantasy ix
eva beatrice	235	umineko no naku koro ni
fall guy	235	fall guys
gawr gura (party dress)	235	hololive, hololive english
hamakaze (yukata mode) (kancolle)	235	kantai collection
houshou kumarine	235	hololive
kiyohime (swimsuit lancer) (third ascension) (fate)	235	fate (series), fate/grand order
louise (touhou)	235	touhou, touhou (pc-98)
meerkat (kemono friends)	235	kemono friends, kemono friends 3
mightyena	235	pokemon
siesta (zero no tsukaima)	235	zero no tsukaima
takaishi takeru	235	digimon, digimon adventure
tamamo (mon-musu quest!)	235	mon-musu quest!
tohsaka tokiomi	235	fate (series), fate/zero
asclepius (fate)	234	fate/grand order, fate (series)
corsola	234	pokemon
ginga nakajima	234	lyrical nanoha, mahou shoujo lyrical nanoha strikers
hellhound (monster girl encyclopedia)	234	monster girl encyclopedia
kumashiro maya	234	seikimatsu occult gakuin
levy mcgarden	234	fairy tail
light cruiser oni	234	kantai collection
liru	234	renkin san-kyuu magical pokaan
mash kyrielight (senpai killer outfit)	234	fate/grand order, fate (series)
ne-class heavy cruiser	234	kantai collection
oikura sodachi	234	monogatari (series), owarimonogatari
ribombee	234	pokemon
rir-chan	234	original
tamamo no mae (jk) (fate)	234	fate (series), fate/extra, fate/extella
victorious (kancolle)	234	kantai collection
z1 leberecht maass (swimsuit mode) (kancolle)	234	kantai collection
ariake (kancolle)	233	kantai collection
azuki azusa	233	hentai ouji to warawanai neko.
cucouroux (granblue fantasy)	233	granblue fantasy
cure diamond	233	precure, dokidoki! precure
fi (zelda)	233	the legend of zelda, the legend of zelda: skyward sword
impostor (among us)	233	among us
izuna (shinrabanshou)	233	shinrabanshou
kagayaki homare	233	precure, hugtto! precure
minccino	233	pokemon, pokemon bw
murata himeko (vermillion knight)	233	honkai (series), honkai impact 3rd
nagusa (blue archive)	233	blue archive
neneka (princess connect!)	233	princess connect!
nishikitaitei-chan	233	kantai collection
peter parker	233	marvel, spider-man (series)
princess leia	233	star wars, star wars: return of the jedi
puniru (puniru wa kawaii slime)	233	puniru wa kawaii slime
quilava	233	pokemon
ramona flowers	233	scott pilgrim (series), scott pilgrim takes off
red pikmin	233	pikmin (series), super smash bros.
regis altare	233	holostars, holostars english
scathacha (granblue fantasy)	233	granblue fantasy
senkawa minato	233	onii-chan wa oshimai!
shu yamino	233	nijisanji, nijisanji en
shuten douji (festival outfit) (fate)	233	fate/grand order, fate (series)
yatagarasu (tsukumo sana)	233	hololive, hololive english
alessandra susu	232	tokyo 7th sisters
araki nonoka (karaage bou)	232	original
aru (new year) (blue archive)	232	blue archive
black gold saw	232	black rock shooter
dark pit	232	kid icarus, kid icarus uprising, super smash bros.
diego brando	232	jojo no kimyou na bouken, steel ball run
genocider shou	232	danganronpa (series), danganronpa: trigger happy havoc
ichii tooru	232	a channel
igarashi rika	232	nijisanji
janna (league of legends)	232	league of legends
joker (dc)	232	dc comics, batman (series)
kuronami (lvi)	232	original
lae'zel	232	baldur's gate, baldur's gate 3, dungeons & dragons
linne (under night in-birth)	232	under night in-birth
mash kyrielight (swimsuit of perpetual summer ver.02)	232	fate/grand order, fate (series)
matilda bouanich	232	reverse:1999
mona (pact of stars and moon) (genshin impact)	232	genshin impact
mousse (arknights)	232	arknights
murakami tomoe	232	idolmaster, idolmaster cinderella girls
orion (bear) (fate)	232	fate (series), fate/grand order
perlica (arknights)	232	arknights, arknights: endfield
rixia mao	232	eiyuu densetsu, ao no kiseki, zero no kiseki
shirogane noel (school uniform)	232	hololive
teddiursa	232	pokemon
uzuki kou	232	nijisanji
wu zetian (first ascension) (fate)	232	fate/grand order, fate (series)
xingchen	232	vocaloid
yusa emi	232	hataraku maou-sama!
bastet (p&d)	231	puzzle & dragons
ceruledge	231	pokemon
chasca (genshin impact)	231	genshin impact
conte di cavour nuovo (kancolle)	231	kantai collection
cure grace	231	precure, healin' good precure
elisia valfelto	231	original
g36c (girls' frontline)	231	girls' frontline
guts (kill la kill)	231	kill la kill
hisoka morow	231	hunter x hunter
house dragonmaid	231	yu-gi-oh!
kido tsubomi	231	kagerou project
koffing	231	pokemon
lethe (fire emblem)	231	fire emblem, fire emblem: path of radiance, fire emblem: radiant dawn
maihama ayumu	231	idolmaster, idolmaster million live!
mint (arknights)	231	arknights
munna	231	pokemon, pokemon bw
piyoko (uruha rushia)	231	hololive
retoree (show by rock!!)	231	show by rock!!
samsung sam	231	samsung
sen no rikyu (fate)	231	fate/grand order, fate (series)
shoukaku kai ni (kancolle)	231	kantai collection
sv-98 (girls' frontline)	231	girls' frontline
swiftsure (azur lane)	231	azur lane
yamato aki	231	idolmaster, idolmaster cinderella girls
algerie (azur lane)	230	azur lane
belial (granblue fantasy)	230	granblue fantasy
cindy aurum	230	final fantasy, final fantasy xv
dark magician	230	yu-gi-oh!
haku (sen to chihiro no kamikakushi)	230	sen to chihiro no kamikakushi
halsin	230	baldur's gate, baldur's gate 3, dungeons & dragons
kahili (pokemon)	230	pokemon, pokemon sm
katana man (chainsaw man)	230	chainsaw man
lion king (lancer) (fate)	230	fate/grand order, fate (series)
marida cruz	230	gundam, gundam unicorn
mizushima saki	230	idolmaster, idolmaster side-m
originium slug (arknights)	230	arknights
project bunny	230	honkai (series), honkai impact 3rd
queen draco (second ascension) (fate)	230	fate/grand order, fate (series)
roxas	230	kingdom hearts
shimohara sadako	230	brave witches, world witches series
sigurd (fate)	230	fate (series), fate/grand order
snow white (disney)	230	snow white and the seven dwarfs
taira no kagekiyo (fate)	230	fate/grand order, fate (series)
takaya noriko	230	top wo nerae! (series), top wo nerae!
u-olga marie	230	fate/grand order, fate (series)
uchiha obito	230	naruto (series), naruto shippuuden
beelstarmon	229	digimon
bili girl 33	229	bilibili
bowser jr.	229	mario (series)
chi-class torpedo cruiser	229	kantai collection
falling devil (chainsaw man)	229	chainsaw man
fighting master alleyne	229	queen's blade
king (snk)	229	the king of fighters, ryuuko no ken
koshigaya natsumi	229	non non biyori
kotohime (touhou)	229	touhou, touhou (pc-98)
light hello (umamusume)	229	umamusume
lycion	229	dungeon meshi
mayl sakurai (mega man)	229	mega man (series), mega man battle network (series)
meguru (cookie)	229	cookie (touhou), touhou
murasaki shikibu (swimsuit rider) (first ascension) (fate)	229	fate/grand order, fate (series)
otogibara era	229	nijisanji
penelo	229	final fantasy, final fantasy xii
roromiya karuta	229	inu x boku ss
rosado (fire emblem)	229	fire emblem, fire emblem engage
tokoyami fumikage	229	boku no hero academia
victini	229	pokemon, pokemon bw
ana coppola	228	ichigo mashimaro
asterios (fate)	228	fate (series), fate/grand order
catherine (project moon)	228	limbus company, project moon
chinatsu (hot spring) (blue archive)	228	blue archive
cogita (pokemon)	228	pokemon, pokemon legends: arceus
forte (shingeki no bahamut)	228	granblue fantasy, shingeki no bahamut
jenet behrn	228	fatal fury, garou: mark of the wolves, snk
kabu (pokemon)	228	pokemon, pokemon swsh
kagurazaka asuna	228	mahou sensei negima!
kawashima sapphire	228	hibike! euphonium
kokonoe tsubaki	228	original
master chief	228	halo (series)
oomuro hanako	228	yuru yuri, oomuro-ke
roboco-san (hoodie)	228	hololive
slaine troyard	228	aldnoah.zero
soldier 11 (zenless zone zero)	228	zenless zone zero
tap dance city (umamusume)	228	umamusume
toujou tsukasa	228	heaven burns red
allen avadonia	227	vocaloid, evillious nendaiki, aku no musume (vocaloid)
asakura rikako	227	touhou, touhou (pc-98)
hakuryuu (azur lane)	227	azur lane
himawari-san (character)	227	himawari-san
kamiya midori	227	original
kazama souta	227	senpai ga uzai kouhai no hanashi
ladydevimon	227	digimon
leblanc (league of legends)	227	league of legends
lurantis	227	pokemon
melantha (arknights)	227	arknights
mochizuki hijiri	227	idolmaster, idolmaster cinderella girls
queen dizzy	227	guilty gear, guilty gear strive
ro-500 (swimsuit mode) (kancolle)	227	kantai collection
siberian tiger (kemono friends)	227	kemono friends
smoker (one piece)	227	one piece
udagawa ako	227	bang dream!
valkyrie (p&d)	227	puzzle & dragons
yuzuriha (jigokuraku)	227	jigokuraku
articuno	226	pokemon
bagpipe (queen no. 1) (arknights)	226	arknights
caesar anthonio zeppeli	226	jojo no kimyou na bouken, battle tendency
christina (princess connect!)	226	princess connect!
dick grayson	226	dc comics, batman (series)
gemma (monster hunter wilds)	226	monster hunter (series), monster hunter wilds
gilgamesh (immoral biker jacket) (fate)	226	fate (series), fate/stay night
goldeen	226	pokemon
gotland andra (kancolle)	226	kantai collection
hakamada hinata	226	rou-kyuu-bu!
judd (splatoon)	226	splatoon (series), splatoon 1
lapis lazuli (houseki no kuni)	226	houseki no kuni
mandricardo (fate)	226	fate/grand order, fate (series)
ninja (final fantasy)	226	final fantasy
pkp (girls' frontline)	226	girls' frontline
rio rollins	226	super blackjack
roux louka	226	gundam, gundam zz
sabo (one piece)	226	one piece
sapphira nyx	226	final fantasy, final fantasy xiv, original
scarlet ibis (kemono friends)	226	kemono friends
seiya kou	226	bishoujo senshi sailor moon, bishoujo senshi sailor moon stars
sonoda yuu	226	sakura trick
steelix	226	pokemon
super sailor chibi moon	226	bishoujo senshi sailor moon, bishoujo senshi sailor moon supers
the yuudachi-like creature	226	kantai collection
voyager (reverse:1999)	226	reverse:1999
whip (kof)	226	the king of fighters
zange	226	kannagi
anzai romi	225	girls und panzer
chansey	225	pokemon
chariot (black rock shooter)	225	black rock shooter
elysia (summer miss elf) (honkai impact)	225	honkai (series), honkai impact 3rd
floragato	225	pokemon
furutaka kai ni (kancolle)	225	kantai collection
griseo (cosmic expression)	225	honkai (series), honkai impact 3rd
hana (fire emblem)	225	fire emblem, fire emblem fates
hat kid	225	a hat in time
helma lennartz	225	strike witches: suomus misfits squadron, world witches series
hiwatashi nazuna	225	brand new animal
itokonoue kaoru	225	project kv
kataoka yuuki	225	saki (manga)
koshimizu toru	225	nijisanji
kushima kamome	225	summer pockets
majora (entity)	225	the legend of zelda, the legend of zelda: majora's mask
narancia ghirga	225	jojo no kimyou na bouken, vento aureo
ninomae ina'nis (new year)	225	hololive, hololive english
okita sougo	225	gintama
olivia (pokemon)	225	pokemon, pokemon sm
q-bee	225	darkstalkers
raising heart (standby mode)	225	lyrical nanoha, mahou shoujo lyrical nanoha
relm arrowny	225	final fantasy, final fantasy vi
roro (gunvolt)	225	azure striker gunvolt, azure striker gunvolt 2
sara valestein	225	eiyuu densetsu, sen no kiseki (series), sen no kiseki i
sei shounagon (swimsuit berserker) (first ascension) (fate)	225	fate/grand order, fate (series)
shizuku (kantoku)	225	original
skirk (genshin impact)	225	genshin impact
sophie (tales)	225	tales of (series), tales of graces
yuugumo kai ni (kancolle)	225	kantai collection
zubat	225	pokemon
alastor (hazbin hotel)	224	hazbin hotel
ayra (fire emblem)	224	fire emblem, fire emblem: genealogy of the holy war
chinchou	224	pokemon
cinnamon (nekopara)	224	nekopara
debidebi debiru	224	nijisanji
firefly (ar-26710) (honkai: star rail)	224	honkai: star rail, honkai (series)
frankenstein's monster (swimsuit saber) (first ascension) (fate)	224	fate (series), fate/grand order
hoshimachi suisei (shout in crisis)	224	hololive
irisu fuyumi	224	hyouka
lisa (ponyo)	224	gake no ue no ponyo
manon legrand	224	street fighter, street fighter 6
mizuki kotori (yu-gi-oh!)	224	yu-gi-oh!, yu-gi-oh! zexal
nymph (arknights)	224	arknights
rpk-16 (renate) (girls' frontline)	224	girls' frontline
ryuuzaki umi	224	magic knight rayearth
saigyouji yuyuko (living)	224	touhou
shiranui kai ni (kancolle)	224	kantai collection
volcarona	224	pokemon
yabuki kana	224	idolmaster, idolmaster million live!
atri	223	atri-my dear moments-
aurochs (kemono friends)	223	kemono friends
azuki (nekopara)	223	nekopara
azula	223	avatar legends, avatar: the last airbender
bumblebee (transformers)	223	transformers
cure wonderful	223	precure, wonderful precure!
digitan (porforever)	223	original
dlanor a. knox	223	umineko no naku koro ni
final form frieza	223	dragon ball, dragon ball z
haruka (new year) (blue archive)	223	blue archive
ikuta haruki	223	idolmaster, idolmaster shiny colors
jinako carigiri	223	fate (series), fate/grand order, fate/extra
k' (kof)	223	the king of fighters
murkrow	223	pokemon
pandora (mega man)	223	mega man (series), mega man zx
rosanna (nikke)	223	goddess of victory: nikke
sessyoin kiara (swimsuit mooncancer) (first ascension)	223	fate/grand order, fate (series)
shamu meruruusa	223	kaiten muten-maru
sin kiske	223	guilty gear, guilty gear xrd, guilty gear strive
snow white (sinoalice)	223	sinoalice
southern tamandua (kemono friends)	223	kemono friends
suicidal girl (hamsterfragment)	223	original
suzushina yuriko	223	toaru majutsu no index
suzuya (christmas mode) (kancolle)	223	kantai collection
watarase jun	223	happiness!
baobhan sith (swimsuit pretender) (second ascension) (fate)	222	fate/grand order, fate (series)
cerberus (shingeki no bahamut)	222	shingeki no bahamut
delthea (fire emblem)	222	fire emblem, fire emblem echoes: shadows of valentia
durga (fate)	222	fate (series), fate/grand order
killer queen	222	jojo no kimyou na bouken, diamond wa kudakenai
kogami akira	222	lucky star
lorenz hellman gloucester	222	fire emblem, fire emblem: three houses
magatsuchi shouta	222	kobayashi-san chi no maidragon
magia azure	222	mahou shoujo ni akogarete
orfevre (old design) (umamusume)	222	umamusume
sekishiro mico	222	nanashi inc., honey strap
silence suzuka (emerald on the waves) (umamusume)	222	umamusume
tabitha (zero no tsukaima)	222	zero no tsukaima
tachibana hinano	222	vspo!
tamamo aria (fate)	222	fate (series), fate/samurai remnant
usada pekora (furi furi bunny dress)	222	hololive
aizawa kazuha	221	assault lily
chosen undead	221	dark souls (series), dark souls i
kanae (tsukiman)	221	original
litchi faye ling	221	blazblue
lunch (bad) (dragon ball)	221	dragon ball, dragon ball (classic)
manaka non (normal)	221	pretty series, pripara
martha (swimsuit ruler) (third ascension) (fate)	221	fate/grand order, fate (series)
mp5 (girls' frontline)	221	girls' frontline
nikaido chizuru	221	idolmaster, idolmaster million live!
rattata	221	pokemon
senya (dq11)	221	dragon quest, dragon quest xi
souya ichika	221	nanashi inc., animare
spirit blossom kindred	221	league of legends
takamine noa	221	idolmaster, idolmaster cinderella girls
tanaka mako	221	watashi ga motenai no wa dou kangaetemo omaera ga warui!
tiger (kemono friends)	221	kemono friends
ursula (23)	221	original
wien margarete	221	love live!, love live! superstar!!
bili girl 22	220	bilibili
buront	220	touhou, final fantasy, final fantasy xi
cthulhu	220	cthulhu mythos
dipper pines	220	gravity falls
dorothy west	220	pretty series, pripara
dragapult	220	pokemon
gokotai	220	touken ranbu
io (pso2)	220	phantasy star, phantasy star online 2
koshi torako	220	shikanoko nokonoko koshitantan
matara kan	220	vshojo
meika hime	220	vocaloid
mishima kazuya	220	tekken, super smash bros.
osakabehime (swimsuit archer) (fate)	220	fate/grand order, fate (series)
platinum (shimmering dew) (arknights)	220	arknights
razia	220	granblue fantasy
snuffy (vtuber)	220	indie virtual youtuber
solaria (ebonyxh)	220	original
swanna	220	pokemon, pokemon bw
weapon merchant cattleya	220	queen's blade
wilhelmina braunschweig ingenohl friedeburg	220	high school fleet
xenomorph	220	alien (series), alien (1979)
a-chan (1st costume) (hololive)	219	hololive
aipom	219	pokemon
alakazam	219	pokemon
chou-10cm-hou-chan (hatsuzuki's)	219	kantai collection
cure nyammy	219	precure, wonderful precure!
emilie (genshin impact)	219	genshin impact
emily stock	219	original
empoleon	219	pokemon
hanazono hakari	219	kimi no koto ga dai dai dai dai daisuki na 100-nin no kanojo
haruna (new year) (blue archive)	219	blue archive
kurosu aroma	219	pretty series, pripara
kyouno madoka	219	rinne no lagrange
lilith (saikin yatotta maid ga ayashii)	219	saikin yatotta maid ga ayashii
mitachurl (genshin impact)	219	genshin impact
momdroid (mechanical buddy universe)	219	mechanical buddy universe
painwheel (skullgirls)	219	skullgirls
ramza beoulve	219	final fantasy, final fantasy tactics
rika (touhou)	219	touhou, touhou (pc-98)
satyr (granblue fantasy)	219	granblue fantasy
shiny chariot	219	little witch academia
tibetan fox (kemono friends)	219	kemono friends
zentreya (dragon)	219	vshojo
aizawa tomo	218	tomo-chan wa onna no ko
antonio salieri (second ascension) (fate)	218	fate/grand order, fate (series)
black cat (marvel)	218	marvel, spider-man (series)
cithis	218	dungeon meshi
drifblim	218	pokemon
framme (fire emblem)	218	fire emblem, fire emblem engage
gundula rall	218	world witches series, brave witches
matsumi kuro	218	saki (manga), saki achiga-hen
miyadeguchi mizuchi	218	touhou
musharna	218	pokemon, pokemon bw
mystia lorelei (bird)	218	touhou
nishizono chigusa	218	nijisanji
poro (league of legends)	218	league of legends
quiet (metal gear)	218	metal gear (series), metal gear solid v: the phantom pain
rapunzel (nikke)	218	goddess of victory: nikke
red riding hood (sinoalice)	218	sinoalice
rockruff	218	pokemon
sumomo (blue archive)	218	blue archive
velouria (fire emblem)	218	fire emblem, fire emblem fates
wolfgang amadeus mozart (fate)	218	fate/grand order, fate (series)
