tag	count
my little pony: friendship is magic	1741
soul eater	1736
vento aureo	1713
ikkitousen	1699
kin-iro mosaic	1692
muv-luv alternative	1690
ijiranaide nagatoro-san	1680
counter:side	1677
karakai jouzu no takagi-san	1674
mahou shoujo ni akogarete	1674
tsukihime (remake)	1673
black survival	1670
ensemble stars!	1666
pokemon rgby	1660
alchemy stars	1659
fire emblem cipher	1659
tropical-rouge! precure	1653
twitter	1649
mahjong soul	1648
god eater	1638
.live	1637
kagerou project	1630
luigi's mansion	1629
voicevox	1629
go! princess precure	1626
kemono friends v project	1618
shinrabanshou	1614
nisemonogatari	1612
va-11 hall-a	1612
coca-cola	1611
shinryaku! ikamusume	1611
world of warcraft	1603
meitantei conan	1600
shantae (series)	1597
yume nikki	1591
dagashi kashi	1584
black lagoon	1583
goblin slayer!	1574
delicious party precure	1568
tate no yuusha no nariagari	1568
fire emblem warriors: three hopes	1558
kizuna ai inc.	1557
tensei shitara slime datta ken	1555
heaven's feel	1552
yu-gi-oh! 5d's	1549
inuyasha	1548
make heroine ga oo sugiru!	1546
vrchat	1545
shakugan no shana	1544
dragon quest iv	1542
gundam zz	1536
pokemon journeys	1529
doukyuusei (series)	1521
final fantasy ix	1519
mon-musu quest!	1519
seiken densetsu	1519
godzilla (series)	1518
fate/extella	1515
gabriel dropout	1514
boruto: naruto next generations	1508
mahou tsukai no yoru	1508
star twinkle precure	1508
evangelion: 3.0+1.0 thrice upon a time	1502
persona 3 portable	1502
street fighter iv (series)	1490
sen no kiseki i	1486
pokemon gsc	1485
super mario galaxy	1481
final fantasy tactics	1477
boku no kokoro no yabai yatsu	1470
tokidoki bosotto roshia-go de dereru tonari no alya-san	1470
heaven burns red	1466
dragon ball fighterz	1456
shin jigen game neptune vii	1456
lord el-melloi ii case files	1452
nyantype	1445
little nuns (diva)	1441
persona 5 the royal	1440
show by rock!!	1432
dragon quest v	1430
senran kagura shinovi versus	1430
sana channel	1428
hataraku saibou	1425
ghost in the shell	1424
m.u.g.e.n	1421
yuusha de aru	1421
toranoana	1420
little red riding hood	1407
dark souls iii	1401
seishun buta yarou	1398
dengeki moeoh	1396
touhou tag dream	1396
pokemon xy (anime)	1392
sayonara zetsubou sensei	1388
di gi charat	1387
kanon	1382
kid icarus uprising	1381
final fantasy v	1376
resident evil 4	1371
teen titans	1363
monster hunter rise	1360
among us	1357
the moon studio	1357
shokugeki no souma	1349
bombergirl	1348
tokyo ghoul	1348
doukyuusei another world	1346
happinesscharge precure!	1343
nekopara	1335
darker than black	1330
love plus	1328
tsugu (vtuber)	1327
under night in-birth	1326
final fantasy x	1323
magical mirai (vocaloid)	1321
koihime musou	1320
sword art online: code register	1319
mabinogi	1318
dolphin wave	1317
diamond wa kudakenai	1309
hugtto! precure	1308
majo no tabitabi	1307
marvel cinematic universe	1301
wizarding world	1301
bayonetta (series)	1296
seiken densetsu 3	1291
pokemon dppt (anime)	1288
oshiro project:re	1287
tera online	1287
yes! precure 5	1287
goodsmile racing	1284
sugar lyric	1280
embodiment of scarlet devil	1278
mahou sensei negima!	1278
xenoblade chronicles 1	1278
kirakira precure a la mode	1273
twisted wonderland	1272
ultra series	1272
sinoalice	1269
tokyo 7th sisters	1260
final fantasy iv	1257
wonderful precure!	1253
golden kamuy	1252
pokemon platinum	1252
tales of vesperia	1248
stellive	1244
pokemon go	1241
summer pockets	1235
onmyoji	1232
ano hi mita hana no namae wo bokutachi wa mada shiranai.	1231
maria-sama ga miteru	1229
yama no susume	1226
dragon quest xi	1224
onegai my melody	1224
sakura taisen	1223
call of duty	1222
high school fleet	1220
gundam tekketsu no orphans	1218
saki achiga-hen	1218
guilty crown	1216
eternal return: black survival	1215
microsoft windows	1212
kuro no kiseki (series)	1211
guilty gear xx	1209
princess principal	1209
castlevania (series)	1208
dragon ball gt	1202
xenosaga	1202
kanojo okarishimasu	1200
scott pilgrim (series)	1200
utawarerumono	1197
rance (series)	1195
brown dust (series)	1190
getsuyoubi no tawawa	1190
kill me baby	1190
harry potter (series)	1189
shirobako	1189
aoki hagane no arpeggio	1187
sword girls	1186
gundam unicorn	1183
frozen (disney)	1180
senjou no valkyria (series)	1179
yuyushiki	1175
